video_id,duration,genre,row_index
hrqJ74vU8KM,60,Sports,25017
ZIVKqktInxE,1490,Film &amp; Animation,25018
h9_6M4G7XkI,,,25019
sJcE6DGkAvg,759,News &amp; Politics,25020
uVI5FO3lGdU,760,Entertainment,25021
x6k-5OIqrCc,839,Gaming,25022
6EYOo0b0Egw,252,Entertainment,25023
81tHg5OVxrQ,1394,Entertainment,25024
g7PfKrKYqdc,350,Sports,25025
jU-c5cXiwsE,30,Music,25026
pLIu3ahDiy8,241,Music,25027
EARWI895ZXE,35,Entertainment,25028
C2nKBuMDzbM,214,Music,25029
grQd8oDlYXs,779,Entertainment,25030
jmk4fWgMPTE,895,People &amp; Blogs,25031
AyYisQwJe3o,157,News &amp; Politics,25032
7M2FwAXgStM,,,25033
Pz08UV4ciNs,281,Music,25034
s0NctJ7bR58,1046,Gaming,25035
1Fwzw3X3EZ4,73,Entertainment,25036
7PiSWwon2kI,85,Science &amp; Technology,25037
lRBrv6JOjS4,924,Entertainment,25038
Ac78kRM85xo,1578,Entertainment,25039
Z0AinYlcJ4g,633,Comedy,25040
jGmiYzCPnSE,89,Sports,25041
WfJXqsokpzY,50,Gaming,25042
Nu1lYnbQmZM,64,Gaming,25043
Jp1HTUTCvZ8,809,People &amp; Blogs,25044
HpGEy53OMWk,30,News &amp; Politics,25045
wIxcbf-OTnM,582,Entertainment,25046
6zL7UGz98Is,717,People &amp; Blogs,25047
yEYu-7BkNDM,2266,Comedy,25048
zJxsHwrtTtk,1016,People &amp; Blogs,25049
pK_6pJg3L7s,1085,Sports,25050
KqKp0-b8oak,46,Entertainment,25051
3J2dqtgp-HA,507,Film &amp; Animation,25052
CorrbelUSIE,134,Autos &amp; Vehicles,25053
VUSB1kepY7Y,1511,Gaming,25054
3SE-oviJKq8,10965,Gaming,25055
2i63UPpW0FU,756,Entertainment,25056
FEd1gzH8-vI,139,Film &amp; Animation,25057
UKMTlse4BPc,638,Entertainment,25058
K2SpP0u8qA4,142,Music,25059
cQOAsuw_F6Y,156,Music,25060
q_G7CqPsrgo,772,Autos &amp; Vehicles,25061
Txi7QuO99kM,260,Music,25062
QgQ8fJAulYA,746,Science &amp; Technology,25063
C-QFO6W9Lmc,451,Entertainment,25064
dvVBb_m0RGk,178,Music,25065
koVSszod_oc,190,People &amp; Blogs,25066
A64LKPCv9bM,12,Gaming,25067
jr-GP4GL-Y0,169,Music,25068
IZNCyvK6dZM,469,News &amp; Politics,25069
5frGIQRwLq0,1772,People &amp; Blogs,25070
zrPMLwzUtUk,657,Entertainment,25071
PvMIqm-U7e0,203,Music,25072
VOhns-uta4c,495,Entertainment,25073
t4V5Or7uh70,172,Entertainment,25074
O7esOV2WBfY,,,25075
w-3TsoJnFcA,214,People &amp; Blogs,25076
k-qVV8zyVmI,98,Film &amp; Animation,25077
0Ot-2-MNntw,42,Comedy,25078
fOU-DA_NjVA,222,Entertainment,25079
jsch4S3zCVQ,1367,People &amp; Blogs,25080
ceVOyHff3pk,176,Music,25081
NfNtUc22GpQ,237,Entertainment,25082
uUxJ6PYtsx0,376,Entertainment,25083
7qMVsyF_yDA,757,Science &amp; Technology,25084
4JhQlD2cN-M,832,Education,25085
he5N49aH3D4,638,Entertainment,25086
QDYDRA5JPLE,161,Music,25087
Oc1hGZjAFwo,176,Music,25088
1oYWnbTSang,234,Music,25089
W8heLOq4kiQ,194,Music,25090
iHLmSXJLH8E,176,Music,25091
qDgPJccj7TE,228,Music,25092
DW-xsGKoF9A,970,Sports,25093
v7C0OVhvofI,100,Music,25094
9v5-9ovoTGE,207,Music,25095
fELpuwrk0gc,489,Education,25096
fuZWi3R0Kv8,1114,Gaming,25097
urhlj2q5i5c,732,People &amp; Blogs,25098
GNWSj9KjdGc,1634,Sports,25099
hCVaRV10C1U,868,Entertainment,25100
TxYNHXP1E8k,154,News &amp; Politics,25101
YmKZiAyVTkA,,,25102
sa-gt9nGxcw,290,Music,25103
dp3Whb77eXc,154,Film &amp; Animation,25104
QDtA7W4YW_c,549,Gaming,25105
mxJInVn5kJs,,,25106
xAN1ThhTWsE,,,25107
E8DSxhqvNcI,665,Gaming,25108
rfY_9tse3qI,631,Gaming,25109
4Sq26KxLSp8,530,Entertainment,25110
73XP2e9TSdo,1297,People &amp; Blogs,25111
aKQ4bdqJUxc,385,Gaming,25112
kevqiiYNFrc,133,Entertainment,25113
0oHloBCUvUU,604,Gaming,25114
m_PEIFKPPoE,1173,Gaming,25115
FTZlfpCbX2E,882,Gaming,25116
LPh-K2AsKkc,220,Music,25117
BTDQnC88HPc,201,Music,25118
sf-ZZDJ9IkA,361,Sports,25119
Ae0svm6Z8Dw,158,Music,25120
eoXL1IOVWGc,1343,People &amp; Blogs,25121
qjBYeY15t1s,1192,News &amp; Politics,25122
5VJbSAKxAkw,792,Gaming,25123
1rNnBg9jDuk,179,Music,25124
